
# N項演算子

U+2211 U+03A3 # ∑

# CJKの記号及び句読点

U+3000 U+0020 # 　

# CJK統合漢字拡張A

U+5AE5 # 嫥
U+5AEE # 嫮
U+5AF0 # 嫰
U+5AF5 # 嫵
U+5B00 # 嬀
U+5B08 # 嬈
U+5B17 # 嬗
U+5B19 # 嬙
U+5B25 # 嬥
U+5B2D # 嬭
U+5B34 # 嬴
U+5B41 # 孁
U+5B43 U+5B22 新字体  # 孃
U+5B4C # 孌
U+5B52 # 孒
U+5B56 # 孖
U+5B68 # 孨
U+5B6F # 孯
U+5B78 U+5B66 新字体  # 學
U+5B7C # 孼
U+5B7D # 孽
U+5B7F # 孿
U+5B81 # 宁
U+5B84 # 宄
U+5B93 # 宓
U+5B96 # 宖
U+5BAC # 宬
U+5BC0 # 寀
U+5BCE # 寎
U+5BD6 # 寖
U+5BD8 U+7F6E # 寘
U+5BE2 U+5BDD 新字体  # 寢
U+5BE6 U+5B9F 新字体  # 實
U+5BEB U+5199 新字体  # 寫
U+5BEC U+5BDB JIS97   # 寬
U+5BF1 # 寱
U+5BF6 U+5B9D 新字体  # 寶
U+5BFD # 寽
U+5C03 # 尃
U+5C07 U+5C06 新字体  # 將
U+5C08 U+5C02 新字体  # 專
U+5C0D U+5BFE 新字体  # 對
U+5C12 U+723E # 尒
U+5C1E # 尞
U+5C23 # 尣
U+5C29 # 尩
U+5C2B # 尫
U+5C2D U+582F JIS78   # 尭
U+5C30 # 尰
U+5C46 U+5C4A 新字体  # 屆
U+5C5B U+5C4F JIS2000 # 屛
U+5C5F # 屟
U+5C61 U+5C62 JIS2000 # 屡
U+5C62 U+5C61 JIS83   # 屢
U+5C63 # 屣
U+5C67 # 屧
U+5C68 # 屨
U+5C69 # 屩
U+5C6C U+5C5E 新字体  # 屬
U+5C70 # 屰
U+5C7A # 屺
U+5C7C # 屼
U+5C88 # 岈
U+5C8A # 岊
U+5C8F # 岏
U+5C9F # 岟
U+5CA0 # 岠
U+5CA2 # 岢
U+5CA3 # 岣
U+5CA6 # 岦
U+5CA7 # 岧
U+5CAA # 岪
U+5CAD U+5CBA # 岭
U+5CB5 # 岵
U+5CBA # 岺
U+5CC9 # 峉
U+5CCB # 峋
U+5CD0 # 峐
U+5CD2 # 峒
U+5CEF U+5CF0 異体字  # 峯
U+5CF4 # 峴
U+5CF5 -      # 峵
U+5CFD U+5CE1 新字体  # 峽
U+5D06 # 崆
U+5D0D # 崍
U+5D10 U+5D11 # 崐
U+5D1D # 崝
U+5D20 # 崠
U+5D24 # 崤
U+5D26 # 崦
U+5D27 # 崧
U+5D2B # 崫
U+5D31 # 崱
U+5D39 # 崹
U+5D42 # 嵂
U+5D46 # 嵆
U+5D47 # 嵇
U+5D4A # 嵊
U+5D53 # 嵓
U+5D61 # 嵡
U+5D6A # 嵪
U+5D6D # 嵭
U+5D70 # 嵰
U+5D81 # 嶁
U+5D88 # 嶈
U+5D8B U+5CF6 異体字  # 嶋
U+5D92 # 嶒
U+5D94 U+5D1F # 嶔
U+5D97 # 嶗
U+5D99 # 嶙
U+5DA0 # 嶠
U+5DA4 # 嶤
U+5DA7 # 嶧
U+5DB0 # 嶰
U+5DB2 # 嶲
U+5DB4 # 嶴
U+5DB8 # 嶸
U+5DB9 # 嶹
U+5DBD U+5CB3 新字体  # 嶽
U+5DCB # 巋
U+5DD0 -      # 巐
U+5DD1 # 巑
U+5DD6 U+5DCC 新字体  # 巖
U+5DD7 # 巗
U+5DD8 # 巘
U+5DE0 # 巠
U+5DE2 U+5DE3 JIS97   # 巢
U+5DE4 # 巤
U+5DE9 # 巩
U+5E00 # 帀
U+5E12 # 帒
U+5E14 # 帔
U+5E15 # 帕
U+5E18 # 帘
U+5E1F # 帟
U+5E2E # 帮
U+5E36 U+5E2F 新字体  # 帶
U+5E3E # 帾
U+5E49 # 幉
U+5E56 # 幖
U+5E58 # 幘
U+5E5E # 幞
U+5E6B # 幫
U+5E6C # 幬
U+5E6D # 幭
U+5E6E # 幮
U+5E77 U+5E76 JIS2000 # 幷
U+5EA5 # 庥
U+5EAA # 庪
U+5EAC # 庬
U+5EB9 # 庹
U+5EBE # 庾
U+5EBF U+5EDF # 庿
U+5EC6 # 廆
U+5ECB # 廋
U+5ED2 # 廒
U+5ED9 # 廙
U+5EE2 U+5EC3 新字体  # 廢
U+5EE3 U+5E83 新字体  # 廣
U+5EF3 U+5E81 新字体  # 廳
U+5EF9 # 廹
U+5EFD U+56DE # 廽
U+5F00 # 开
U+5F02 # 异
U+5F07 # 弇
U+5F08 # 弈
U+5F0E # 弎
U+5F1C # 弜
U+5F1D # 弝
U+5F1E # 弞
U+5F21 -      # 弡
U+5F23 # 弣
U+5F34 # 弴
U+5F36 # 弶
U+5F3D # 弽
U+5F40 # 彀
U+5F45 # 彅
U+5F47 # 彇
U+5F48 U+5F3E 新字体  # 彈
U+5F4C U+5F25 新字体  # 彌
U+5F54 # 彔
U+5F58 # 彘
U+5F63 # 彣
U+5F64 # 彤
U+5F67 # 彧
U+5F72 # 彲
U+5F7D # 彽
U+5F7E # 彾
U+5F89 # 徉
U+5F8F # 徏
U+5F91 U+5F84 新字体  # 徑
U+5F9C # 徜
U+5F9E U+5F93 新字体  # 從
U+5FA2 # 徢
U+5FA4 # 徤
U+5FA7 U+904D # 徧
U+5FAF # 徯
U+5FB5 U+5FB4 JIS97   # 徵
U+5FB7 U+5FB3 JIS97   # 德
U+5FB8 # 徸
U+5FC4 # 忄
U+5FC7 # 忇
U+5FC9 # 忉
U+5FCB # 忋
U+5FD2 # 忒
U+5FD3 # 忓
U+5FD4 # 忔
U+5FDE # 忞
U+5FE1 # 忡
U+5FE2 # 忢
U+5FE9 # 忩
U+5FEE # 忮
U+5FEF # 忯
U+5FF3 # 忳
U+5FFC # 忼

U+600D # 怍
U+6014 # 怔
U+6017 # 怗
U+6018 # 怘
U+6022 # 怢
U+6024 # 怤
U+6033 # 怳
U+6035 # 怵
U+6046 U+6052 新字体  # 恆
U+6047 # 恇
U+604C # 恌
U+605D -      # 恝
U+607F U+6142 # 恿
U+6085 U+60A6 # 悅
U+608A # 悊
U+6095 # 悕
U+609D # 悝
U+609E # 悞
U+60A8 # 您
U+60B0 # 悰
U+60B1 # 悱
U+60BE # 悾
U+60C8 # 惈
U+60CB # 惋
U+60D4 # 惔
U+60D5 # 惕
U+60D9 # 惙
U+60DB # 惛
U+60DD # 惝
U+60DE -      # 惞
U+60E0 U+6075 新字体  # 惠
U+60E1 U+60AA 新字体  # 惡
U+60EE # 惮
U+60F1 U+60A9 新字体  # 惱
U+60F2 # 惲
U+60F5 # 惵
U+60F8 # 惸
U+6110 # 愐
U+6111 -      # 愑
U+6112 # 愒
U+6113 # 愓
U+6119 # 愙
U+611C # 愜
U+611E # 愞
U+6120 # 愠
U+6120 U+614D # 愠
U+612B # 愫
U+6130 # 愰
U+6137 # 愷
U+613A # 愺
U+613C U+614E 新字体  # 愼
U+6141 # 慁
U+6146 # 慆
U+6158 U+60E8 新字体  # 慘
U+6160 # 慠
U+617C # 慼
U+618D # 憍
U+6192 # 憒
U+6193 # 憓
U+6197 # 憗
U+6198 # 憘
U+61A5 # 憥
U+61A8 # 憨
U+61AD # 憭
U+61B9 # 憹
U+61BC # 憼
U+61C9 U+5FDC 新字体  # 應
U+61D5 # 懕
U+61DD # 懝
U+61DF # 懟
U+61F5 # 懵
U+61F7 U+61D0 新字体  # 懷
U+6200 U+604B 新字体  # 戀
U+6213 -      # 戓
U+6215 # 戕
U+6222 # 戢
U+6223 # 戣
U+6229 # 戩
U+6230 U+6226 新字体  # 戰
U+6232 U+622F 新字体  # 戲
U+623E U+623B JIS97   # 戾
U+6243 # 扃
U+6246 # 扆
U+624C # 扌
U+6251 # 扑
U+6252 # 扒
U+6256 # 扖
U+625A # 扚
U+6261 # 扡
U+6264 # 扤
U+626D # 扭
U+626F # 扯
U+6273 # 扳
U+627B # 扻
U+6285 # 抅
U+6299 # 抙
U+62A6 # 抦
U+62C2 U+6255 新字体  # 拂
U+62C4 # 拄
U+62D4 U+629C 新字体  # 拔
U+62D5 # 拕
U+62D6 # 拖
U+62DC U+62DD 新字体  # 拜
U+62FC # 拼
U+62FD # 拽
U+6303 # 挃
U+630A # 挊
U+630D # 挍
U+6310 # 挐
U+6318 # 挘
U+6332 # 挲
U+6335 # 挵
U+6339 # 挹
U+633B # 挻
U+633C # 挼
U+633E U+631F 新字体  # 挾
U+6341 # 捁
U+6343 # 捃
U+6344 # 捄
U+634E # 捎
U+6359 # 捙
U+6365 # 捥
U+636C # 捬
U+637C # 捼
U+6384 # 掄
U+6394 # 掔
U+6399 # 掙
U+63B4 U+6451 JIS2000 # 掴
U+63BB U+6414 JIS2000 # 掻
U+63BD # 掽
U+63D2 U+633F 新字体  # 插
U+63D4 # 揔
U+63D5 # 揕
U+63DC # 揜
U+63E0 # 揠
U+63E5 # 揥
U+63EB # 揫
U+63EC # 揬
U+63ED U+63B2 JIS97   # 揭
U+63F2 # 揲
U+63F5 # 揵
U+63F7 # 揷
U+6409 # 搉
U+6410 # 搐
U+6414 U+63BB JIS83   # 搔
U+6416 U+63FA 新字体  # 搖
U+641C U+635C 新字体  # 搜
U+641E # 搞
U+6422 # 搢
U+6425 U+6376 # 搥
U+6429 # 搩
U+642F U+638F # 搯
U+6451 U+63B4 JIS83   # 摑
U+645A # 摚
U+645B # 摛
U+645D # 摝
U+6460 # 摠
U+646D U+62D3 # 摭
U+6473 # 摳
U+6479 # 摹
U+647D # 摽
U+6487 # 撇
U+64B9 U+652A JIS78   # 撹
U+6491 # 撑
U+649D # 撝
U+649F # 撟
U+64BE # 撾
U+64BF # 撿
U+64C4 # 擄
U+64C7 U+629E 新字体  # 擇
U+64CA U+6483 JIS97   # 擊
U+64CB # 擋
U+64CC # 擌
U+64CE # 擎
U+64D0 # 擐
U+64D4 U+62C5 新字体  # 擔
U+64D5 # 擕
U+64D7 # 擗
U+64DA U+62E0 新字体  # 據
U+64E4 # 擤
U+64E5 # 擥
U+64E7 U+6319 新字体  # 擧
U+64F4 U+62E1 新字体  # 擴
U+64F7 # 擷
U+64FB # 擻
U+64FF # 擿
U+6504 # 攄
U+6505 U+6522 JIS2000 # 攅
U+650F # 攏
U+6514 # 攔
U+6516 # 攖
U+651D U+6442 新字体  # 攝
U+651E # 攞
U+6522 U+6505 JIS83   # 攢
U+6529 # 攩
U+652A U+64B9 JIS78   # 攪
U+6532 # 攲
U+6536 U+53CE 新字体  # 收
U+6544 # 敄
U+6548 U+52B9 新字体  # 效
U+654D U+53D9 新字体  # 敍
U+654E U+6559 # 敎
U+6554 # 敔
U+6555 U+52C5 新字体  # 敕
U+6567 # 敧
U+656B # 敫
U+6578 U+6570 新字体  # 數
U+657A # 敺
U+6581 # 斁
U+6584 # 斄
U+6585 # 斅
U+658A # 斊
U+659D # 斝
U+65B2 # 斲
U+65B5 # 斵
U+65B7 U+65AD 新字体  # 斷
U+65B8 # 斸
U+65BF # 斿
U+65C2 # 旂
U+65C9 # 旉
U+65D4 # 旔
