#
# encoding-jis.txt
#

# US-ASCII

         JIS  EUC    SJIS W31J Unicode  UTF-16   UTF-8
-------- ---- ------ ---- ---- -------- -------- -------- ----
   01-67 2163 A1E3   8183 8183 U+FF1C   FF1C     EFBC9C   [＜]
   01-68 2164 A1E4   8184 8184 U+FF1E   FF1E     EFBC9E   [＞]
   01-69 2165 A1E5   8185 8185 U+2266   2266     E289A6   [≦]
   01-70 2166 A1E6   8186 8186 U+2267   2267     E289A7   [≧]
   01-71 2167 A1E7   8187 8187 U+221E   221E     E2889E   [∞]
   01-72 2168 A1E8   8188 8188 U+2234   2234     E288B4   [∴]
   01-73 2169 A1E9   8189 8189 U+2642   2642     E29982   [♂]
   01-74 216A A1EA   818A 818A U+2640   2640     E29980   [♀]
   01-75 216B A1EB   818B 818B U+00B0   00B0     C2B0     [°]
   01-76 216C A1EC   818C 818C U+2032   2032     E280B2   [′]
   01-77 216D A1ED   818D 818D U+2033   2033     E280B3   [″]
   01-78 216E A1EE   818E 818E U+2103   2103     E28483   [℃]
   01-79 216F A1EF   818F 818F U+FFE5   FFE5     EFBFA5   [￥]
   01-80 2170 A1F0   8190 8190 U+FF04   FF04     EFBC84   [＄]
   01-81 2171 A1F1   8191 -    U+00A2   00A2     C2A2     [¢]
   01-81 -    -      -    8191 U+FFE0   FFE0     EFBFA0   [？]
   01-82 2172 A1F2   8192 -    U+00A3   00A3     C2A3     [£]
   01-82 -    -      -    8192 U+FFE1   FFE1     EFBFA1   [？]
   01-83 2173 A1F3   8193 8193 U+FF05   FF05     EFBC85   [％]
   01-84 2174 A1F4   8194 8194 U+FF03   FF03     EFBC83   [＃]
   01-85 2175 A1F5   8195 8195 U+FF06   FF06     EFBC86   [＆]
   01-86 2176 A1F6   8196 8196 U+FF0A   FF0A     EFBC8A   [＊]
   01-87 2177 A1F7   8197 8197 U+FF20   FF20     EFBCA0   [＠]
   01-88 2178 A1F8   8198 8198 U+00A7   00A7     C2A7     [§]
   01-89 2179 A1F9   8199 8199 U+2606   2606     E29886   [☆]
   01-90 217A A1FA   819A 819A U+2605   2605     E29885   [★]
   01-91 217B A1FB   819B 819B U+25CB   25CB     E2978B   [○]
   01-92 217C A1FC   819C 819C U+25CF   25CF     E2978F   [●]
   01-93 217D A1FD   819D 819D U+25CE   25CE     E2978E   [◎]
   01-94 217E A1FE   819E 819E U+25C7   25C7     E29787   [◇]
-------- ---- ------ ---- ---- -------- -------- -------- ----
   02-01 2221 A2A1   819F 819F U+25C6   25C6     E29786   [◆]
   02-02 2222 A2A2   81A0 81A0 U+25A1   25A1     E296A1   [□]
   02-03 2223 A2A3   81A1 81A1 U+25A0   25A0     E296A0   [■]
   02-04 2224 A2A4   81A2 81A2 U+25B3   25B3     E296B3   [△]
   02-05 2225 A2A5   81A3 81A3 U+25B2   25B2     E296B2   [▲]
   02-06 2226 A2A6   81A4 81A4 U+25BD   25BD     E296BD   [▽]
   02-07 2227 A2A7   81A5 81A5 U+25BC   25BC     E296BC   [▼]
   02-08 2228 A2A8   81A6 81A6 U+203B   203B     E280BB   [※]
   02-09 2229 A2A9   81A7 81A7 U+3012   3012     E38092   [〒]
   02-10 222A A2AA   81A8 81A8 U+2192   2192     E28692   [→]
   02-11 222B A2AB   81A9 81A9 U+2190   2190     E28690   [←]
   02-12 222C A2AC   81AA 81AA U+2191   2191     E28691   [↑]
   02-13 222D A2AD   81AB 81AB U+2193   2193     E28693   [↓]
   02-14 222E A2AE   81AC 81AC U+3013   3013     E38093   [〓]
   02-15 -    -      -    81AD U+FFFD   FFFD     EFBFBD   
   02-16 -    -      -    81AE U+FFFD   FFFD     EFBFBD   
   02-17 -    -      -    81AF U+FFFD   FFFD     EFBFBD   
   02-18 -    -      -    81B0 U+FFFD   FFFD     EFBFBD   
   02-19 -    -      -    81B1 U+FFFD   FFFD     EFBFBD   
   02-20 -    -      -    81B2 U+FFFD   FFFD     EFBFBD   
   02-21 -    -      -    81B3 U+FFFD   FFFD     EFBFBD   
   02-22 -    -      -    81B4 U+FFFD   FFFD     EFBFBD   
   02-23 -    -      -    81B5 U+FFFD   FFFD     EFBFBD   
   02-24 -    -      -    81B6 U+FFFD   FFFD     EFBFBD   
   02-25 -    -      -    81B7 U+FFFD   FFFD     EFBFBD   
